RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK
1,1,Christian McCaffrey,SF,RB1,9
2,1,Bijan Robinson,ATL,RB2,12
3,1,CeeDee Lamb,DAL,WR1,7
4,1,Tyreek Hill,MIA,WR2,6
5,2,Breece Hall,NYJ,RB3,12
6,2,Ja'Marr Chase,CIN,WR3,12
7,2,Justin Jefferson,MIN,WR4,6
8,2,Amon-Ra St. Brown,DET,WR5,5
9,2,Jahmyr Gibbs,DET,RB4,5
10,2,Saquon Barkley,PHI,RB5,5
11,3,Garrett Wilson,NYJ,WR6,12
12,3,A.J. Brown,PHI,WR7,5
13,3,Puka Nacua,LAR,WR8,6
14,3,Jonathan Taylor,IND,RB6,14
15,3,De'Von Achane,MIA,RB7,6
16,4,Josh Allen,BUF,QB1,7
17,4,Patrick Mahomes,KC,QB2,10
18,4,Marvin Harrison Jr.,ARI,WR9,11
19,4,Nico Collins,HOU,WR10,14
20,4,Drake London,ATL,WR11,12
21,5,Kyren Williams,LAR,RB8,6
22,5,Derrick Henry,BAL,RB9,7
23,5,Malik Nabers,NYG,WR12,11
24,5,Jaylen Waddle,MIA,WR13,6
25,5,Chris Olave,NO,WR14,11
26,6,DK Metcalf,PIT,WR15,9
27,6,Brian Thomas Jr.,JAX,WR16,8
28,6,Josh Jacobs,GB,RB10,10
29,6,Bucky Irving,TB,RB11,9
30,6,Isiah Pacheco,KC,RB12,10
31,7,Lamar Jackson,BAL,QB3,7
32,7,Jalen Hurts,PHI,QB4,5
33,7,Sam LaPorta,DET,TE1,5
34,7,Trey McBride,ARI,TE2,11
35,7,Brock Bowers,LV,TE3,8
